EMPLOYEE_ID,FIRST_NAME,LAST_NAME,PHONE_NUMBER,HIRE_DATE,SALARY,MANAGER_ID,ROLE
198,Donald,OConnell,650.507.9833,21-Jun-07,2600,124,DevOps
199,Douglas,Grant,650.507.9844,13-Jan-08,2600,124,Developer
200,Jennifer,Whalen,515.123.4444,17-Sep-03,4400,101,Tester
201,Michael,Hartstein,515.123.5555,17-Feb-04,,100,Lead Developer
202,Pat,Fay,603.123.6666,17-Aug-05,6000,201,AI Developer
203,,,515.123.7777,07-Jun-02,6500,101,Developer
204,Hermann,Baer,515.123.8888,07-Jun-02,10000,101,AI Architect
205,Shelley,Higgins,515.123.8080,07-Jun-02,12008,101,Tester
206,William,Gietz,515.123.8181,07-Jun-02,8300,205,DevOps
100,Steven,King,515.123.4567,17-Jun-03,24000,,Lead Developer
101,Neena,Kochhar,515.123.4568,21-Sep-05,17000,100,AI Developer
102,Lex,De Haan,515.123.4569,13-Jan-01,17000,100,Lead Developer
103,Alexander,Hunold,590.423.4567,03-Jan-06,9000,102,Tester
104,Bruce,Ernst,590.423.4568,21-May-07,6000,103,Developer
105,David,Austin,590.423.4569,25-Jun-05,,103,AI Architect
106,Valli,Pataballa,590.423.4560,05-Feb-06,4800,103,AI Developer
107,,,590.423.5567,07-Feb-07,4200,103,Developer
108,Nancy,Greenberg,515.124.4569,17-Aug-02,12008,101,Developer
109,Daniel,Faviet,515.124.4169,16-Aug-02,9000,108,AI Architect
110,John,Chen,515.124.4269,28-Sep-05,8200,108,Developer
111,Ismael,Sciarra,515.124.4369,30-Sep-05,7700,108,Developer
112,Jose Manuel,Urman,515.124.4469,07-Mar-06,7800,108,DevOps
113,Luis,Popp,515.124.4567,07-Dec-07,6900,108,AI Architect
114,Den,Raphaely,515.127.4561,07-Dec-02,11000,100,Lead Developer
115,Alexander,Khoo,515.127.4562,18-May-03,3100,114,Tester
116,,,515.127.4563,24-Dec-05,2900,114,Lead Developer
117,Sigal,Tobias,515.127.4564,24-Jul-05,2800,114,Developer
118,Guy,Himuro,515.127.4565,15-Nov-06,2600,114,AI Developer
119,Karen,Colmenares,515.127.4566,10-Aug-07,,114,AI Developer
120,Matthew,Weiss,650.123.1234,18-Jul-04,8000,100,DevOps
121,Adam,Fripp,650.123.2234,10-Apr-05,8200,100,DevOps
122,Payam,Kaufling,650.123.3234,01-May-03,7900,100,Developer
123,,,650.123.4234,10-Oct-05,6500,100,AI Developer
124,Kevin,Mourgos,650.123.5234,16-Nov-07,5800,100,AI Developer
125,Julia,Nayer,650.124.1214,16-Jul-05,3200,120,DevOps
126,Irene,Mikkilineni,650.124.1224,28-Sep-06,2700,120,Tester
127,James,Landry,650.124.1334,14-Jan-07,2400,120,Developer
128,Steven,Markle,650.124.1434,08-Mar-08,2200,,AI Developer
129,Laura,Bissot,650.124.5234,20-Aug-05,3300,121,Developer
130,Mozhe,Atkinson,650.124.6234,30-Oct-05,2800,121,Lead Developer
131,,,650.124.7234,16-Feb-05,2500,121,AI Developer
132,TJ,Olson,650.124.8234,10-Apr-07,2100,121,DevOps
133,Jason,Mallin,650.127.1934,14-Jun-04,3300,122,Developer
134,Michael,Rogers,650.127.1834,26-Aug-06,,122,Developer
135,Ki,Gee,650.127.1734,12-Dec-07,2400,122,AI Architect
136,Hazel,Philtanker,650.127.1634,06-Feb-08,2200,122,Tester
137,Renske,Ladwig,650.121.1234,14-Jul-03,3600,123,Developer
138,,,650.121.2034,26-Oct-05,3200,123,DevOps
139,John,Seo,650.121.2019,12-Feb-06,2700,123,AI Architect
140,Joshua,Patel,650.121.1834,06-Apr-06,2500,123,Developer
